CustomerID,Week,Day,Company,Address,Location,Phone,Notes,Email,Delivery Fee,,,,,Active
ef5f835a,,,London Drugs,10820-104B Ave Grande Prairie AB T8V 7L6,Select standard fee,,,,RUSH ORDER - 3/23/2026 | PO: 256242,256242,,,,true
30bcc6ff,,,Megan & Tyler Barbeau,10240-72 Ave Grande Prairie AB T8W 2Y2,Select standard fee,,,mdkempel@gmail.com,RUSH ORDER - 3/23/2026 | Email: mdkempel@gmail.com,23390,,,,true
d5068c81,,,Prairie Disposal,65029 Hwy 43 County Of Grande Prairie AB T8W 5E7,Select standard fee,,,accounting@prairiedisposal.com,RUSH ORDER - 3/23/2026 | Email: accounting@prairiedisposal.com,36592,,,,true
07f9e6b4,,,The workshop,9601-107 Street #107 Grande Prairie, AB T8V 6S5,Select standard fee,,,ea@minhasgroup.net,RUSH ORDER - 3/23/2026 | Email: ea@minhasgroup.net,27141,,,true
a608062a,,,Deverdenne Davis Cyr LLP,10501 67th Ave #103,Grande Prairie, AB T8W 0K8,Select standard fee,,,office@ddcllp.ca,RUSH ORDER - 3/23/2026 | Email: office@ddcllp.ca,20599,,true
a58596e3,,,Climb Machining,9514-113 Street Grande Prairie, AB T8V 5M2,Select standard fee,,,climbmachining@outlook.com,RUSH ORDER - 3/23/2026 | Email: climbmachining@outlook.com,26851,,,true
bd3e2a01,,,Union Tractor,11123-97 Ave Grande Prairie AB, T8V 3J6,Select standard fee,,,payables@uniontractor.com,RUSH ORDER - 3/23/2026 | Email: payables@uniontractor.com,23139,,,true
e891bce0,,,Northern Metalic,9708-108 Street Grande Prairie AB T8V 4E2,Select standard fee,,,,RUSH ORDER - 3/23/2026 | PO: 242152-GRA returns  242151-GRA CBW,242152-GRA returns  242151-GRA CBW,,,,true
a2913025,,,FYI doctors Division,Unit 106, 11510 Westgate Drive. Grande Prairie AB, T8V 4E9,Select standard fee,,,,RUSH ORDER - 3/23/2026,99275,,true
0c2820f9,,,Culligan,12001 99 Ave Grande Prairie AB T8W 0J7,Select standard fee,,,,RUSH ORDER - 3/23/2026,91493,,,,true
6e7d8460,,,Bunch Projects,9620-109 street Grande Prairie, AB T8V 4E4,,780-532-6034,,purchaseorders@bunch.ca,[Route: week 3 > 3 Monday] [Day: Thursday],,,,true
77b0861d,,,Gray Electric,8602-111A Street Grande Prairie,AB T8V 5L3,,780-539-4777,,Admin@grayelectric.ca,[Route: week 3 > 3 Monday] [Day: Thursday],,,,true
